agemos,L,M,S,P1,P3,P5,P15,P25,P50,P75,P85,P95,P97,P99
82,-0.4207,22.4837,0.13686,16.7,17.6,18.1,19.6,20.5,22.5,24.7,26.0,28.5,29.5,31.6
83,-0.4305,22.6872,0.13722,16.8,17.8,18.3,19.8,20.7,22.7,24.9,26.3,28.8,29.8,32.0
84,-0.4402,22.8915,0.13759,17.0,17.9,18.4,19.9,20.9,22.9,25.2,26.5,29.1,30.1,32.3
85,-0.4499,23.0968,0.13797,17.1,18.1,18.6,20.1,21.1,23.1,25.4,26.8,29.3,30.4,32.7
86,-0.4594,23.3029,0.13838,17.3,18.2,18.8,20.3,21.3,23.3,25.6,27.0,29.6,30.7,33.0
87,-0.4688,23.5101,0.13880,17.4,18.4,18.9,20.5,21.5,23.5,25.9,27.3,29.9,31.1,33.4
88,-0.4781,23.7182,0.13923,17.6,18.5,19.1,20.6,21.6,23.7,26.1,27.5,30.2,31.4,33.7
89,-0.4873,23.9272,0.13969,17.7,18.7,19.2,20.8,21.8,23.9,26.4,27.8,30.5,31.7,34.1
90,-0.4964,24.1371,0.14016,17.8,18.8,19.4,21.0,22.0,24.1,26.6,28.1,30.8,32.0,34.4
91,-0.5053,24.3479,0.14065,18.0,19.0,19.6,21.2,22.2,24.3,26.8,28.3,31.1,32.3,34.8
92,-0.5142,24.5595,0.14117,18.1,19.1,19.7,21.3,22.4,24.6,27.1,28.6,31.4,32.7,35.2
93,-0.5229,24.7722,0.14170,18.3,19.3,19.9,21.5,22.6,24.8,27.3,28.9,31.8,33.0,35.6
94,-0.5315,24.9858,0.14226,18.4,19.5,20.0,21.7,22.8,25.0,27.6,29.1,32.1,33.3,36.0
95,-0.5399,25.2005,0.14284,18.6,19.6,20.2,21.9,22.9,25.2,27.8,29.4,32.4,33.7,36.3
96,-0.5482,25.4163,0.14344,18.7,19.8,20.4,22.0,23.1,25.4,28.1,29.7,32.7,34.0,36.7
97,-0.5564,25.6332,0.14407,18.9,19.9,20.5,22.2,23.3,25.6,28.3,30.0,33.1,34.4,37.1
98,-0.5644,25.8513,0.14472,19.0,20.1,20.7,22.4,23.5,25.9,28.6,30.2,33.4,34.7,37.6
