agemos,L,M,S,P1,P3,P5,P15,P25,P50,P75,P85,P95,P97,P99
105,-1.5948,15.9651,0.09907,13.1,13.6,13.8,14.5,15.0,16.0,17.1,17.9,19.3,19.9,21.3
106,-1.6076,15.9925,0.09951,13.1,13.6,13.8,14.5,15.0,16.0,17.2,17.9,19.3,20.0,21.4
107,-1.6199,16.0205,0.09994,13.2,13.6,13.8,14.6,15.0,16.0,17.2,17.9,19.4,20.0,21.4
108,-1.6318,16.0490,0.10038,13.2,13.6,13.9,14.6,15.1,16.0,17.2,18.0,19.5,20.1,21.5
109,-1.6433,16.0781,0.10082,13.2,13.6,13.9,14.6,15.1,16.1,17.3,18.0,19.5,20.2,21.6
110,-1.6544,16.1078,0.10126,13.2,13.7,13.9,14.6,15.1,16.1,17.3,18.1,19.6,20.2,21.7
111,-1.6651,16.1381,0.10170,13.2,13.7,13.9,14.6,15.1,16.1,17.4,18.1,19.6,20.3,21.8
112,-1.6753,16.1692,0.10214,13.2,13.7,13.9,14.7,15.1,16.2,17.4,18.2,19.7,20.4,21.9
113,-1.6851,16.2009,0.10259,13.3,13.7,14.0,14.7,15.2,16.2,17.4,18.2,19.8,20.5,22.0
114,-1.6944,16.2333,0.10303,13.3,13.7,14.0,14.7,15.2,16.2,17.5,18.3,19.8,20.5,22.1
115,-1.7032,16.2665,0.10347,13.3,13.8,14.0,14.7,15.2,16.3,17.5,18.3,19.9,20.6,22.2
116,-1.7116,16.3004,0.10391,13.3,13.8,14.0,14.8,15.3,16.3,17.6,18.4,20.0,20.7,22.3
117,-1.7196,16.3351,0.10435,13.3,13.8,14.1,14.8,15.3,16.3,17.6,18.4,20.0,20.8,22.4
118,-1.7271,16.3704,0.10478,13.4,13.8,14.1,14.8,15.3,16.4,17.7,18.5,20.1,20.8,22.5
119,-1.7341,16.4065,0.10522,13.4,13.8,14.1,14.8,15.3,16.4,17.7,18.5,20.2,20.9,22.6
120,-1.7407,16.4433,0.10566,13.4,13.9,14.1,14.9,15.4,16.4,17.7,18.6,20.2,21.0,22.7
121,-1.7468,16.4807,0.10609,13.4,13.9,14.2,14.9,15.4,16.5,17.8,18.6,20.3,21.1,22.8
122,-1.7525,16.5189,0.10652,13.4,13.9,14.2,14.9,15.4,16.5,17.8,18.7,20.4,21.1,22.9
123,-1.7578,16.5578,0.10695,13.5,13.9,14.2,15.0,15.5,16.6,17.9,18.7,20.4,21.2,23.0
124,-1.7626,16.5974,0.10738,13.5,14.0,14.2,15.0,15.5,16.6,17.9,18.8,20.5,21.3,23.1
125,-1.7670,16.6376,0.10780,13.5,14.0,14.3,15.0,15.5,16.6,18.0,18.8,20.6,21.4,23.2
126,-1.7710,16.6786,0.10823,13.5,14.0,14.3,15.1,15.6,16.7,18.0,18.9,20.7,21.5,23.3
127,-1.7745,16.7203,0.10865,13.6,14.0,14.3,15.1,15.6,16.7,18.1,19.0,20.7,21.6,23.4
128,-1.7777,16.7628,0.10906,13.6,14.1,14.3,15.1,15.6,16.8,18.1,19.0,20.8,21.6,23.5
129,-1.7804,16.8059,0.10948,13.6,14.1,14.4,15.2,15.7,16.8,18.2,19.1,20.9,21.7,23.6
130,-1.7828,16.8497,0.10989,13.6,14.1,14.4,15.2,15.7,16.9,18.2,19.1,21.0,21.8,23.7
131,-1.7847,16.8941,0.11030,13.7,14.2,14.4,15.2,15.8,16.9,18.3,19.2,21.0,21.9,23.8
132,-1.7862,16.9392,0.11070,13.7,14.2,14.5,15.3,15.8,16.9,18.4,19.3,21.1,22.0,23.9
133,-1.7873,16.9850,0.11110,13.7,14.2,14.5,15.3,15.8,17.0,18.4,19.3,21.2,22.1,24.0
134,-1.7881,17.0314,0.11150,13.8,14.3,14.5,15.3,15.9,17.0,18.5,19.4,21.3,22.2,24.1
135,-1.7884,17.0784,0.11189,13.8,14.3,14.6,15.4,15.9,17.1,18.5,19.4,21.4,22.2,24.2
136,-1.7884,17.1262,0.11228,13.8,14.3,14.6,15.4,16.0,17.1,18.6,19.5,21.4,22.3,24.4
137,-1.7880,17.1746,0.11266,13.9,14.4,14.6,15.4,16.0,17.2,18.6,19.6,21.5,22.4,24.5
138,-1.7873,17.2236,0.11304,13.9,14.4,14.7,15.5,16.0,17.2,18.7,19.6,21.6,22.5,24.6
139,-1.7861,17.2734,0.11342,13.9,14.4,14.7,15.5,16.1,17.3,18.8,19.7,21.7,22.6,24.7
140,-1.7846,17.3240,0.11379,13.9,14.5,14.7,15.6,16.1,17.3,18.8,19.8,21.8,22.7,24.8
141,-1.7828,17.3752,0.11415,14.0,14.5,14.8,15.6,16.2,17.4,18.9,19.8,21.8,22.8,24.9
142,-1.7806,17.4272,0.11451,14.0,14.5,14.8,15.6,16.2,17.4,18.9,19.9,21.9,22.9,25.0
143,-1.7780,17.4799,0.11487,14.0,14.6,14.9,15.7,16.3,17.5,19.0,20.0,22.0,23.0,25.1
144,-1.7751,17.5334,0.11522,14.1,14.6,14.9,15.7,16.3,17.5,19.1,20.1,22.1,23.1,25.2
145,-1.7719,17.5877,0.11556,14.1,14.6,14.9,15.8,16.3,17.6,19.1,20.1,22.2,23.1,25.3
146,-1.7684,17.6427,0.11590,14.2,14.7,15.0,15.8,16.4,17.6,19.2,20.2,22.3,23.2,25.4
147,-1.7645,17.6985,0.11623,14.2,14.7,15.0,15.9,16.4,17.7,19.3,20.3,22.3,23.3,25.6
148,-1.7604,17.7551,0.11656,14.2,14.8,15.1,15.9,16.5,17.8,19.3,20.3,22.4,23.4,25.7
149,-1.7559,17.8124,0.11688,14.3,14.8,15.1,16.0,16.5,17.8,19.4,20.4,22.5,23.5,25.8
